GEO.id,GEO.id2,GEO.display-label,HD01_VD01
1400000US36005030000,36005030000,"Census Tract 300, Bronx County, New York",6084
1400000US36005030100,36005030100,"Census Tract 301, Bronx County, New York",1395
1400000US36005030200,36005030200,"Census Tract 302, Bronx County, New York",10053
1400000US36005030701,36005030701,"Census Tract 307.01, Bronx County, New York",5172
1400000US36005030900,36005030900,"Census Tract 309, Bronx County, New York",3184
1400000US36005031000,36005031000,"Census Tract 310, Bronx County, New York",4661
1400000US36005031200,36005031200,"Census Tract 312, Bronx County, New York",1866
1400000US36005031400,36005031400,"Census Tract 314, Bronx County, New York",2275
1400000US36005031600,36005031600,"Census Tract 316, Bronx County, New York",2361
1400000US36005031800,36005031800,"Census Tract 318, Bronx County, New York",2429
1400000US36005031900,36005031900,"Census Tract 319, Bronx County, New York",671
1400000US36005032300,36005032300,"Census Tract 323, Bronx County, New York",4721
1400000US36005032400,36005032400,"Census Tract 324, Bronx County, New York",2934
1400000US36005032600,36005032600,"Census Tract 326, Bronx County, New York",3931
1400000US36005032800,36005032800,"Census Tract 328, Bronx County, New York",3999
1400000US36005033000,36005033000,"Census Tract 330, Bronx County, New York",5602
1400000US36005033201,36005033201,"Census Tract 332.01, Bronx County, New York",3430
1400000US36005033202,36005033202,"Census Tract 332.02, Bronx County, New York",3287
1400000US36005033400,36005033400,"Census Tract 334, Bronx County, New York",845
1400000US36005033500,36005033500,"Census Tract 335, Bronx County, New York",2311
1400000US36005033600,36005033600,"Census Tract 336, Bronx County, New York",6133
1400000US36005033700,36005033700,"Census Tract 337, Bronx County, New York",2537
1400000US36005033800,36005033800,"Census Tract 338, Bronx County, New York",3659
1400000US36005034000,36005034000,"Census Tract 340, Bronx County, New York",4464
1400000US36005034200,36005034200,"Census Tract 342, Bronx County, New York",2005
1400000US36005034300,36005034300,"Census Tract 343, Bronx County, New York",1669
1400000US36005034400,36005034400,"Census Tract 344, Bronx County, New York",1571
1400000US36005034500,36005034500,"Census Tract 345, Bronx County, New York",3708
1400000US36005034800,36005034800,"Census Tract 348, Bronx County, New York",6629
1400000US36005035000,36005035000,"Census Tract 350, Bronx County, New York",1893
1400000US36005035100,36005035100,"Census Tract 351, Bronx County, New York",3005
1400000US36005035600,36005035600,"Census Tract 356, Bronx County, New York",2194
1400000US36005035800,36005035800,"Census Tract 358, Bronx County, New York",8302
1400000US36005035900,36005035900,"Census Tract 359, Bronx County, New York",1716
1400000US36005036000,36005036000,"Census Tract 360, Bronx County, New York",3251
1400000US36005036100,36005036100,"Census Tract 361, Bronx County, New York",5704
1400000US36005036300,36005036300,"Census Tract 363, Bronx County, New York",7983
1400000US36005036400,36005036400,"Census Tract 364, Bronx County, New York",2758
1400000US36005036501,36005036501,"Census Tract 365.01, Bronx County, New York",3955
1400000US36005036502,36005036502,"Census Tract 365.02, Bronx County, New York",2246
1400000US36005036700,36005036700,"Census Tract 367, Bronx County, New York",1979
1400000US36005036800,36005036800,"Census Tract 368, Bronx County, New York",1871
1400000US36005036901,36005036901,"Census Tract 369.01, Bronx County, New York",2255
1400000US36005036902,36005036902,"Census Tract 369.02, Bronx County, New York",2228
1400000US36005037000,36005037000,"Census Tract 370, Bronx County, New York",2488
1400000US36005037100,36005037100,"Census Tract 371, Bronx County, New York",3603
1400000US36005037200,36005037200,"Census Tract 372, Bronx County, New York",2318
1400000US36005037300,36005037300,"Census Tract 373, Bronx County, New York",4624
1400000US36005037400,36005037400,"Census Tract 374, Bronx County, New York",2945
1400000US36005037504,36005037504,"Census Tract 375.04, Bronx County, New York",4331
1400000US36005037600,36005037600,"Census Tract 376, Bronx County, New York",2555
1400000US36005037800,36005037800,"Census Tract 378, Bronx County, New York",2889
1400000US36005037900,36005037900,"Census Tract 379, Bronx County, New York",5053
1400000US36005038000,36005038000,"Census Tract 380, Bronx County, New York",4281
1400000US36005038100,36005038100,"Census Tract 381, Bronx County, New York",5838
1400000US36005038200,36005038200,"Census Tract 382, Bronx County, New York",2732
1400000US36005038301,36005038301,"Census Tract 383.01, Bronx County, New York",4537
1400000US36005038302,36005038302,"Census Tract 383.02, Bronx County, New York",5149
1400000US36005038500,36005038500,"Census Tract 385, Bronx County, New York",4488
1400000US36005038600,36005038600,"Census Tract 386, Bronx County, New York",7624
1400000US36005038700,36005038700,"Census Tract 387, Bronx County, New York",3275
1400000US36005038800,36005038800,"Census Tract 388, Bronx County, New York",2707
1400000US36005038900,36005038900,"Census Tract 389, Bronx County, New York",5009
1400000US36005039000,36005039000,"Census Tract 390, Bronx County, New York",3180
1400000US36005039100,36005039100,"Census Tract 391, Bronx County, New York",6858
1400000US36005039200,36005039200,"Census Tract 392, Bronx County, New York",1617
1400000US36005039300,36005039300,"Census Tract 393, Bronx County, New York",7573
1400000US36005039400,36005039400,"Census Tract 394, Bronx County, New York",4551
1400000US36005039500,36005039500,"Census Tract 395, Bronx County, New York",3416
1400000US36005039600,36005039600,"Census Tract 396, Bronx County, New York",3679
1400000US36005039700,36005039700,"Census Tract 397, Bronx County, New York",4014
1400000US36005039800,36005039800,"Census Tract 398, Bronx County, New York",3040
1400000US36005039901,36005039901,"Census Tract 399.01, Bronx County, New York",5114
1400000US36005039902,36005039902,"Census Tract 399.02, Bronx County, New York",4413
1400000US36005040100,36005040100,"Census Tract 401, Bronx County, New York",4924
1400000US36005040302,36005040302,"Census Tract 403.02, Bronx County, New York",3634
1400000US36005040303,36005040303,"Census Tract 403.03, Bronx County, New York",4172
1400000US36005040304,36005040304,"Census Tract 403.04, Bronx County, New York",3532
1400000US36005040400,36005040400,"Census Tract 404, Bronx County, New York",3139
1400000US36005040501,36005040501,"Census Tract 405.01, Bronx County, New York",4115
1400000US36005040502,36005040502,"Census Tract 405.02, Bronx County, New York",5703
1400000US36005040600,36005040600,"Census Tract 406, Bronx County, New York",3401
1400000US36005040701,36005040701,"Census Tract 407.01, Bronx County, New York",3680
1400000US36005040702,36005040702,"Census Tract 407.02, Bronx County, New York",6138
1400000US36005040800,36005040800,"Census Tract 408, Bronx County, New York",4011
1400000US36005040900,36005040900,"Census Tract 409, Bronx County, New York",3702
1400000US36005041100,36005041100,"Census Tract 411, Bronx County, New York",2677
1400000US36005041300,36005041300,"Census Tract 413, Bronx County, New York",7735
1400000US36005041400,36005041400,"Census Tract 414, Bronx County, New York",5051
1400000US36005041500,36005041500,"Census Tract 415, Bronx County, New York",5475
1400000US36005041800,36005041800,"Census Tract 418, Bronx County, New York",4015
1400000US36005041900,36005041900,"Census Tract 419, Bronx County, New York",6022
1400000US36005042000,36005042000,"Census Tract 420, Bronx County, New York",3698
1400000US36005042100,36005042100,"Census Tract 421, Bronx County, New York",5975
1400000US36005042200,36005042200,"Census Tract 422, Bronx County, New York",3316
1400000US36005042300,36005042300,"Census Tract 423, Bronx County, New York",4037
1400000US36005042400,36005042400,"Census Tract 424, Bronx County, New York",3030
1400000US36005042500,36005042500,"Census Tract 425, Bronx County, New York",6929
1400000US36005042600,36005042600,"Census Tract 426, Bronx County, New York",8074
1400000US36005042800,36005042800,"Census Tract 428, Bronx County, New York",2097
1400000US36005042901,36005042901,"Census Tract 429.01, Bronx County, New York",2940
1400000US36005042902,36005042902,"Census Tract 429.02, Bronx County, New York",3624
1400000US36005043000,36005043000,"Census Tract 430, Bronx County, New York",3010
1400000US36005043100,36005043100,"Census Tract 431, Bronx County, New York",10320
1400000US36005043400,36005043400,"Census Tract 434, Bronx County, New York",3800
1400000US36005043500,36005043500,"Census Tract 435, Bronx County, New York",18
1400000US36005043600,36005043600,"Census Tract 436, Bronx County, New York",1985
1400000US36005044200,36005044200,"Census Tract 442, Bronx County, New York",4111
1400000US36005044400,36005044400,"Census Tract 444, Bronx County, New York",4055
1400000US36005044800,36005044800,"Census Tract 448, Bronx County, New York",2435
1400000US36005044901,36005044901,"Census Tract 449.01, Bronx County, New York",1857
1400000US36005044902,36005044902,"Census Tract 449.02, Bronx County, New York",1966
1400000US36005045101,36005045101,"Census Tract 451.01, Bronx County, New York",1571
1400000US36005045102,36005045102,"Census Tract 451.02, Bronx County, New York",1707
1400000US36005045600,36005045600,"Census Tract 456, Bronx County, New York",3120
1400000US36005045800,36005045800,"Census Tract 458, Bronx County, New York",6668
1400000US36005046000,36005046000,"Census Tract 460, Bronx County, New York",2877
1400000US36005046201,36005046201,"Census Tract 462.01, Bronx County, New York",26083
1400000US36005046202,36005046202,"Census Tract 462.02, Bronx County, New York",7642
1400000US36005048400,36005048400,"Census Tract 484, Bronx County, New York",3660
1400000US36005050400,36005050400,"Census Tract 504, Bronx County, New York",0
1400000US36005051600,36005051600,"Census Tract 516, Bronx County, New York",4210
1400000US36047000100,36047000100,"Census Tract 1, Kings County, New York",4685
1400000US36047000200,36047000200,"Census Tract 2, Kings County, New York",1266
1400000US36047000301,36047000301,"Census Tract 3.01, Kings County, New York",4824
1400000US36047000501,36047000501,"Census Tract 5.01, Kings County, New York",3633
1400000US36047000502,36047000502,"Census Tract 5.02, Kings County, New York",2535
1400000US36047000700,36047000700,"Census Tract 7, Kings County, New York",3526
1400000US36047000900,36047000900,"Census Tract 9, Kings County, New York",4615
1400000US36047001100,36047001100,"Census Tract 11, Kings County, New York",318
1400000US36047001300,36047001300,"Census Tract 13, Kings County, New York",2402
1400000US36047001500,36047001500,"Census Tract 15, Kings County, New York",3107
1400000US36047001800,36047001800,"Census Tract 18, Kings County, New York",2399
1400000US36047002000,36047002000,"Census Tract 20, Kings County, New York",1646
1400000US36047002100,36047002100,"Census Tract 21, Kings County, New York",3164
1400000US36047002200,36047002200,"Census Tract 22, Kings County, New York",4528
1400000US36047002300,36047002300,"Census Tract 23, Kings County, New York",4025
1400000US36047002901,36047002901,"Census Tract 29.01, Kings County, New York",2944
1400000US36047003000,36047003000,"Census Tract 30, Kings County, New York",1884
1400000US36047003100,36047003100,"Census Tract 31, Kings County, New York",2662
1400000US36047003300,36047003300,"Census Tract 33, Kings County, New York",2383
1400000US36047003400,36047003400,"Census Tract 34, Kings County, New York",3173
1400000US36047003500,36047003500,"Census Tract 35, Kings County, New York",1455
1400000US36047003600,36047003600,"Census Tract 36, Kings County, New York",4048
1400000US36047003700,36047003700,"Census Tract 37, Kings County, New York",305
1400000US36047003800,36047003800,"Census Tract 38, Kings County, New York",1681
1400000US36047003900,36047003900,"Census Tract 39, Kings County, New York",2322
